Business Name,Address,Place ID,Category Query,City
Backpocket Pin and Pixel,"6205 Merle Hay Rd Suite 100, Johnston, IA 50131, United States",ChIJzRGxUkCd7ocRZlXOcMrcmw4,brewery,"Des Moines, IA"
The Foundry in Valley Junction,"111 S 11th St Suite 100, West Des Moines, IA 50265, United States",ChIJkTZLUrqf7ocRg7EWmpURn9I,brewery,"Des Moines, IA"
Iowa Craft Beer Tent,"Des Moines, IA 50317, United States",ChIJC6PKCw-X7ocRZshQKmCMy5Y,brewery,"Des Moines, IA"
300 Craft & Rooftop,"300 W Martin Luther King Jr Pkwy, Des Moines, IA 50309, United States",ChIJpTYvqlWY7ocRaKrRYWPGjqQ,brewery,"Des Moines, IA"
Uptown Garage Brewing Co.,"305 SW Walnut St, Ankeny, IA 50023, United States",ChIJ2eMd5WeF7ocRUhXGQHxoKVo,brewery,"Des Moines, IA"
Barn Town Brewing,"9500 SE University Ave Suite 1110, West Des Moines, IA 50266, United States",ChIJfRI1e-kj7IcRdVdMbQdfq2o,brewery,"West Des Moines, IA"
515 Brewing Company,"7700 University Ave Suite C, Clive, IA 50325, United States",ChIJ4fg74T-e7ocRMYam2uOOihM,brewery,"West Des Moines, IA"
HiFi Brew Lounge,"103 S 11th St, West Des Moines, IA 50265, United States",ChIJyXSMcwCf7ocRQ6J1_2Jnva4,brewery,"West Des Moines, IA"
BeerStyles Taproom & Gastropub,"5513 Mills Civic Pkwy, West Des Moines, IA 50266, United States",ChIJxYNt4Dcg7IcR6sNkld8FhKA,brewery,"West Des Moines, IA"
Exile Brewing Company,"1514 Walnut St, Des Moines, IA 50309, United States",ChIJBWDX9-GY7ocR-4DjPSrypHQ,brewery,"West Des Moines, IA"
Twisted Vine Brewery,"112 SE 4th St, Des Moines, IA 50309, United States",ChIJvZMO-Jsg7IcR4vogSxSLC6Q,brewery,"West Des Moines, IA"
The Foundry in Valley Junction,"111 S 11th St Suite 100, West Des Moines, IA 50265, United States",ChIJkTZLUrqf7ocRg7EWmpURn9I,brewery,"West Des Moines, IA"
Lua Brewing,"1525 High St, Des Moines, IA 50309, United States",ChIJkdj6W8GZ7ocRGSw0rV-8E0E,brewery,"West Des Moines, IA"
